0.500000 0.500000 7.5299
0.500000 1.500000 10.9687
0.500000 2.500000 9.9428
0.500000 3.500000 10.8750
0.500000 4.500000 9.6286
0.500000 5.500000 8.8687
0.500000 6.500000 8.9870
0.500000 7.500000 7.8130
0.500000 8.500000 7.5999
0.500000 9.500000 7.1381
0.500000 10.500000 6.3914
0.500000 11.500000 5.6864
0.500000 12.500000 5.2699
0.500000 13.500000 4.9181
0.500000 14.500000 4.5535
0.500000 15.500000 4.1277
0.500000 16.500000 3.9369
0.500000 17.500000 3.6854
0.500000 18.500000 3.4585
0.500000 19.500000 3.3040
0.500000 20.500000 3.0885
0.500000 21.500000 2.9712
0.500000 22.500000 2.8228
0.500000 23.500000 2.7210
0.500000 24.500000 2.6705
0.500000 25.500000 2.6236
0.500000 26.500000 2.6166
0.500000 27.500000 2.6224
0.500000 28.500000 2.6873
0.500000 29.500000 2.7110
0.500000 30.500000 2.7693
0.500000 31.500000 2.8191
0.500000 32.500000 2.9383
0.500000 33.500000 3.0682
0.500000 34.500000 3.2079
0.500000 35.500000 3.3992
0.500000 36.500000 3.6353
0.500000 37.500000 3.8900
0.500000 38.500000 4.1550
0.500000 39.500000 4.5426
0.500000 40.500000 4.7833
0.500000 41.500000 5.0661
0.500000 42.500000 5.4518
0.500000 43.500000 5.9587
0.500000 44.500000 6.0095
0.500000 45.500000 7.3221
0.500000 46.500000 7.8846
0.500000 47.500000 7.6322
0.500000 48.500000 13.9251
0.500000 49.500000 13.9251
1.500000 0.500000 10.8395
1.500000 1.500000 10.8943
1.500000 2.500000 11.6438
1.500000 3.500000 11.6829
1.500000 4.500000 11.7173
1.500000 5.500000 10.9060
1.500000 6.500000 10.2882
1.500000 7.500000 10.7393
1.500000 8.500000 10.2325
1.500000 9.500000 9.2202
1.500000 10.500000 8.3400
1.500000 11.500000 7.8030
1.500000 12.500000 6.7379
1.500000 13.500000 6.5358
1.500000 14.500000 5.9817
1.500000 15.500000 5.7364
1.500000 16.500000 5.1615
1.500000 17.500000 4.7615
1.500000 18.500000 4.3795
1.500000 19.500000 4.0238
1.500000 20.500000 3.6736
1.500000 21.500000 3.4374
1.500000 22.500000 3.2524
1.500000 23.500000 3.1179
1.500000 24.500000 3.0868
1.500000 25.500000 3.0653
